ア、,2,2,9000,フィラー,*,*,*,*,*,ア、,ア,ア
アー、,2,2,9000,フィラー,*,*,*,*,*,アー、,アー,アー
アー…,2,2,9000,フィラー,*,*,*,*,*,アー、,アー,アー
イ、,2,2,9000,フィラー,*,*,*,*,*,イ、,イ,イ
ウ、,2,2,9000,フィラー,*,*,*,*,*,ウ、,ウ,ウ
ウェー,2,2,16000,フィラー,*,*,*,*,*,ウェー、,ウェー,ウェー
エー、,2,2,9000,フィラー,*,*,*,*,*,エー、,エー,エー
エー…,2,2,9000,フィラー,*,*,*,*,*,エー、,エー,エー
エート、,2,2,9000,フィラー,*,*,*,*,*,エート、,エート,エート
エート,2,2,15000,フィラー,*,*,*,*,*,エート、,エート,エート
オ、,2,2,9000,フィラー,*,*,*,*,*,オ、,オ,オ
グ、,2,2,9000,フィラー,*,*,*,*,*,グ、,グ,グ
ス、,2,2,9000,フィラー,*,*,*,*,*,ス、,ス,ス
ニ、,2,2,9000,フィラー,*,*,*,*,*,ニ、,ニ,ニ
ハ、,2,2,9000,フィラー,*,*,*,*,*,ハ、,ハ,ハ
バ、,2,2,9000,フィラー,*,*,*,*,*,バ、,バ,バ
ヨ、,2,2,9000,フィラー,*,*,*,*,*,ヨ、,ヨ,ヨ
アバ、,2,2,9000,フィラー,*,*,*,*,*,アバ、,アバ,アバ
以って,1282,1282,7536,副詞,助詞類接続,*,*,*,*,もって,モッテ,モッテ,
以て,1282,1282,7536,副詞,助詞類接続,*,*,*,*,もって,モッテ,モッテ,
マダ,1281,1281,16000,副詞,一般,*,*,*,*,まだ,マダ,マダ,
モロに,1281,1281,5802,副詞,一般,*,*,*,*,もろに,モロニ,モロニ,
チンタラ,1281,1281,6391,副詞,一般,*,*,*,*,チンタラ,チンタラ,チンタラ,
ビクとも,1281,1281,5000,副詞,一般,*,*,*,*,ビクとも,ビクトモ,ビクトモ,
シコタマ,1281,1281,6047,副詞,一般,*,*,*,*,しこたま,シコタマ,シコタマ,
サッサ,1282,1282,6000,副詞,助詞類接続,*,*,*,*,サッサ,サッサ,サッサ,
ウットリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ウットリ,ウットリ,ウットリ,
ウロチョロ,1282,1282,3000,副詞,助詞類接続,*,*,*,*,ウロチョロ,ウロチョロ,ウロチョロ,
ガバリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ガバリ,ガバリ,ガバリ,
キッチリ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,キッチリ,キッチリ,キッチリ,
ギョッ,1282,1282,5000,副詞,助詞類接続,*,*,*,*,ギョッ,ギョッ,ギョッ,
